scraped_date,headline,negative,neutral,positive,compound,label
2023-02-20,"Olympics-Australia Aligned With Other Nations on Russia, Belarus Athlete Ban",0.286,0.714,0.0,-0.5574,-1
2023-02-20,China Says It Is 'Deeply Worried' About Escalation of Ukraine Conflict,0.347,0.653,0.0,-0.5849,-1
2023-02-20,"US Urges UN to Condemn North Korea; China, Russia Blame US",0.357,0.643,0.0,-0.6124,-1
2023-02-20,Congress Floats Ways to Secure Skies After Chinese Balloon,0.0,0.769,0.231,0.34,1
2023-02-20,Sneaking a President From DC to Kyiv Without Anyone Noticing,0.0,1.0,0.0,0.0,0
2023-02-20,"Social Security and Medicare: Troubling Math, Tough Politics",0.403,0.403,0.194,-0.3818,-1
2023-02-20,"Former NBA, NFL Team Owner, Businessman Red McCombs Dies",0.0,1.0,0.0,0.0,0
2023-02-20,Project Veritas Founder James O'Keefe Out at Right-Wing Org,0.0,1.0,0.0,0.0,0
2023-02-20,"Social Security and Medicare: Troubling Math, Tough Politics",0.403,0.403,0.194,-0.3818,-1
2023-02-20,"In Test, Zaps to Spine Help 2 Stroke Survivors Move Arms",0.0,0.769,0.231,0.4019,1
2023-02-20,"Social Security and Medicare: Troubling Math, Tough Politics",0.403,0.403,0.194,-0.3818,-1
2023-02-20,FDA’s Own Reputation Could Be Restraining Its Misinfo Fight,0.245,0.755,0.0,-0.3818,-1
2023-02-20,UN Ocean Treaty Talks Resume With Goal to Save Biodiversity,0.0,0.738,0.262,0.4939,1
2023-02-20,Japanese Bid Farewell to Beloved Panda Returning to China,0.0,0.708,0.292,0.5106,1
2023-02-20,Endangered African Penguin Chicks Hatch at Arizona Aquarium,0.0,1.0,0.0,0.0,0
2023-02-20,Cold-Blooded: Abandoned Alligator Rescued From Brooklyn Lake,0.278,0.463,0.259,-0.0516,0
2023-02-20,Russian Pranksters Call Merkel Posing as Ukraine's Ex-Leader,0.0,1.0,0.0,0.0,0
2023-02-20,Dog Vs Shark Standoff Thrills Tourists on Bahamas Boat Tour,0.0,0.783,0.217,0.3612,1
2023-02-20,Lawyers: Feds Seek 'Eye for Eye' From NYC Bike Path Killer,0.301,0.699,0.0,-0.6486,-1
2023-02-20,"Blast at Ohio Factory Scatters Molten Debris, Starts Fire; 14 Injured",0.362,0.638,0.0,-0.6249,-1
2023-02-20,Project Veritas Founder James O'Keefe Out at Right-Wing Org,0.0,1.0,0.0,0.0,0
2023-02-20,"Faux Fur, Hot Water Bottles at Burberry's New London Show",0.0,1.0,0.0,0.0,0
2023-02-20,"Dudamel on New York: 'I Keep That Wild, Wild Animal Gustavo'",0.0,1.0,0.0,0.0,0
2023-02-20,"Huey ‘Piano' Smith, Session Man and Hit Maker, Dead at 89",0.301,0.699,0.0,-0.6486,-1
2023-02-20,AP Source: Bucks Give Meyers Leonard Chance to Resume Career,0.0,0.818,0.182,0.25,1
2023-02-20,"Asmussen 1st Trainer to Notch 10,000 Wins in North America",0.0,0.709,0.291,0.5719,1
2023-02-20,Report: Westbrook to Sign With Clippers After Jazz Waive Him,0.0,1.0,0.0,0.0,0
